date,nb_deputes,nb_senateurs,nb_soutiens
2020-07-15T09:36:53.060642,65,9,315293
2020-07-15T10:14:00.743224,65,9,315404
2020-07-15T10:37:17.032044,65,9,315494
2020-07-15T11:13:20.426240,69,9,315635
2020-07-15T11:37:00.879918,69,9,315728
2020-07-15T12:17:53.911964,69,9,315906
2020-07-15T12:37:07.117327,69,9,315966
2020-07-15T13:13:36.847406,69,9,316109
2020-07-15T13:37:07.934296,69,9,316247
2020-07-15T14:15:01.078501,69,9,316395
2020-07-15T14:36:49.481587,69,9,316475
2020-07-15T15:13:33.677902,69,9,316629
2020-07-15T15:37:00.465967,69,9,316735
2020-07-15T16:14:17.871683,76,9,316889
2020-07-15T16:36:57.941661,88,9,316975
2020-07-15T17:13:24.495915,88,9,317159
2020-07-15T17:37:01.154047,88,9,317267
2020-07-15T18:14:49.912260,88,9,317446
2020-07-15T18:37:02.887425,88,9,317581
2020-07-15T19:12:13.360224,88,9,317760
2020-07-15T19:36:49.528457,88,9,317957
2020-07-15T20:14:58.465460,88,9,318795
2020-07-15T20:36:49.021986,88,9,319158
2020-07-15T21:13:14.070650,88,9,319693
2020-07-15T21:36:50.198201,88,9,319938
2020-07-15T22:13:36.166474,88,9,320253
2020-07-15T22:37:03.443976,88,9,320376
2020-07-15T23:12:44.781227,88,9,320478
2020-07-15T23:36:46.710618,88,9,320514
2020-07-16T00:38:38.543983,88,9,320577
2020-07-16T01:15:26.727762,88,9,320607
2020-07-16T01:36:45.614155,88,9,320623
2020-07-16T02:15:25.254699,88,9,320653
2020-07-16T02:36:48.241322,88,9,320667
2020-07-16T03:14:00.768610,88,9,320686
2020-07-16T03:37:07.945724,88,9,320705
2020-07-16T04:14:49.887928,88,9,320761
2020-07-16T04:36:57.457018,88,9,320814
2020-07-16T05:13:48.652760,88,9,320945
2020-07-16T05:36:57.155577,88,9,321066
2020-07-16T06:15:17.875233,88,9,321326
2020-07-16T06:36:57.643472,88,9,321488
2020-07-16T07:13:49.776732,88,9,321770
2020-07-16T07:36:53.609009,88,9,321921
2020-07-16T08:15:16.810627,88,9,322184
2020-07-16T08:36:52.903164,88,9,322307
2020-07-16T09:14:04.315467,88,9,322548
2020-07-16T09:36:49.861070,88,9,322669
2020-07-16T10:13:48.249626,88,9,323790
2020-07-16T10:36:56.476045,88,9,324673
2020-07-16T11:13:07.501690,88,9,325810
2020-07-16T11:36:45.242379,88,9,326542
2020-07-16T12:18:04.869526,88,9,328057
2020-07-16T12:36:44.618117,88,9,328576
2020-07-16T13:13:38.174359,90,9,329680
2020-07-16T13:36:50.034825,90,9,330202
2020-07-16T14:14:45.680066,90,9,330870
